"","bird_id","departure_dt"
"1","GT5",NA
"2","WAM2",NA
"3","WAM15",2013-06-13
"4","NQP1",NA
"5","WAM14",2013-06-08
"6","WAM4",NA
"7","WM1",NA
"8","WM5",NA
"9","WM6",NA
"10","COLW3",NA
"11","COLW5",NA
"12","COLW2",NA
"13","COLW4",NA
"14","WAM9",NA
"15","WAM12",NA
"16","WAM10",2013-06-11
"17","WAM5",2013-06-11
"18","COLW1",2013-06-11
"19","WAM3",NA
"20","YRSP5",NA
"21","CNPS29",NA
"22","CNPS24",2014-06-18
"23","NNP18",NA
"24","NNP29",2014-05-31
"25","CNPS37",2014-06-13
"26","NQP2",2014-05-27
"27","CNPS4",2014-05-27
"28","CNPS7",NA
"29","CNPS8",NA
"30","CNPS11",NA
"31","CNPS12",NA
"32","CNPS13",NA
"33","WAM1",2014-06-29
"34","CNPS14",2014-05-31
"35","CNPS23",NA
"36","CNPS27",2014-06-25
"37","CNPS39",2014-07-11
"38","CNPS41",NA
"39","NNP1",NA
"40","WAM13",NA
"41","DAMB",NA
