check,bird_id,int,t,age,sday,fate
2014-05-31,WAM13,2,1,1,14,1
2014-06-03,WAM13,3,3,4,17,1
2014-06-05,WAM13,4,2,6,19,1
2014-06-07,WAM13,5,2,8,21,1
2014-06-09,WAM13,6,2,10,23,1
2014-06-16,WAM13,7,7,17,30,1
2014-06-17,WAM13,8,1,18,31,1
2014-06-20,WAM13,9,3,21,34,1
2014-06-24,WAM13,10,4,25,38,1
2014-06-26,WAM13,11,2,27,40,1
2014-06-28,WAM13,12,2,29,42,1
2014-06-30,WAM13,13,2,31,44,1
2014-07-03,WAM13,14,3,34,47,1
2014-07-08,WAM13,15,5,39,52,1
2014-07-11,WAM13,16,3,42,55,1
2014-07-13,WAM13,17,2,44,57,1
2014-07-27,WAM13,18,14,58,71,1
2014-07-28,WAM13,19,1,59,72,1
2014-07-30,WAM13,20,2,61,74,1
2014-07-31,WAM13,21,1,62,75,1
2014-08-03,WAM13,22,3,65,78,1
2014-08-04,WAM13,23,1,66,79,1
2014-08-07,WAM13,24,3,69,82,1
2014-05-23,CNPS8,2,1,1,6,1
2014-05-27,CNPS8,3,4,5,10,1
2014-05-29,CNPS8,4,5,7,12,1
2014-06-03,CNPS8,5,5,12,17,1
2014-06-04,CNPS8,6,1,13,18,1
2014-06-05,CNPS8,7,1,14,19,1
2014-06-07,CNPS8,8,2,16,21,1
2014-06-09,CNPS8,9,2,18,23,1
2014-06-11,CNPS8,10,2,20,25,1
2014-06-15,CNPS8,11,4,24,29,1
2014-06-18,CNPS8,12,3,27,32,1
2014-06-20,CNPS8,13,2,29,34,1
2014-06-24,CNPS8,14,4,33,38,1
2014-06-27,CNPS8,15,3,36,41,1
2014-06-30,CNPS8,16,3,39,44,1
2014-07-01,CNPS8,17,1,40,45,1
2014-07-06,CNPS8,18,5,45,50,1
2014-07-11,CNPS8,19,5,50,55,1
2014-07-13,CNPS8,20,2,52,57,1
2014-07-18,CNPS8,21,5,57,62,1
2014-07-20,CNPS8,22,2,59,64,1
2014-07-23,CNPS8,23,3,62,67,1
2014-07-25,CNPS8,24,2,64,69,1
2014-07-30,CNPS8,25,5,69,74,1
2014-05-18,CNPS29,2,1,1,1,1
2014-05-19,CNPS29,3,1,2,2,1
2014-05-20,CNPS29,4,1,3,3,1
2014-05-21,CNPS29,5,1,4,4,1
2014-05-27,CNPS29,6,6,10,10,1
2014-05-31,CNPS29,7,4,14,14,1
2014-06-07,CNPS29,8,7,21,21,1
2014-06-09,CNPS29,9,2,23,23,1
2014-06-10,CNPS29,10,1,24,24,1
2014-06-13,CNPS29,11,3,27,27,1
2014-06-18,CNPS29,12,5,32,32,1
2014-06-19,CNPS29,13,1,33,33,1
2014-06-21,CNPS29,14,2,35,35,1
2014-06-22,CNPS29,15,1,36,36,1
2014-06-25,CNPS29,16,3,39,39,1
2014-06-26,CNPS29,17,1,40,40,0
2014-07-11,CNPS29_t2,2,3,3,55,1
2014-07-14,CNPS29_t2,3,3,6,58,1
2014-07-18,CNPS29_t2,4,4,10,62,1
2014-07-19,CNPS29_t2,5,1,11,63,1
2014-05-24,CNPS12,2,1,1,7,1
2014-06-02,CNPS12,3,9,10,16,1
2014-06-04,CNPS12,4,2,12,18,1
2014-06-10,CNPS12,5,6,18,24,1
2014-06-11,CNPS12,6,1,19,25,1
2014-06-16,CNPS12,7,5,24,30,1
2014-06-17,CNPS12,8,1,25,31,1
2014-06-20,CNPS12,9,3,28,34,1
2014-06-25,CNPS12,10,5,33,39,1
2014-06-30,CNPS12,11,5,38,44,1
2014-07-01,CNPS12,12,1,39,45,1
2014-07-02,CNPS12,13,1,40,46,1
2014-07-03,CNPS12,14,1,41,47,1
2014-07-10,CNPS12,15,7,48,54,1
2014-07-17,CNPS12,16,7,55,61,1
2014-07-18,CNPS12,17,1,56,62,1
2014-07-21,CNPS12,18,3,59,65,1
2014-07-22,CNPS12,19,1,60,66,1
2014-07-23,CNPS12,20,1,61,67,1
2014-05-21,NNP18,2,1,1,4,1
2014-05-27,NNP18,3,6,7,10,1
2014-05-31,NNP18,4,4,11,14,1
2014-06-02,NNP18,5,2,13,16,1
2014-06-07,NNP18,6,5,18,21,1
2014-06-13,NNP18,7,6,24,27,1
2014-06-18,NNP18,8,5,29,32,1
2014-06-21,NNP18,9,3,32,35,1
2014-06-22,NNP18,10,1,33,36,1
2014-06-24,NNP18,11,2,35,38,1
2014-06-26,NNP18,12,2,37,40,1
2014-06-27,NNP18,13,1,38,41,1
2014-07-02,NNP18,14,5,43,46,1
2014-07-07,NNP18,15,5,48,51,1
2014-07-12,NNP18,16,5,53,56,1
2014-07-14,NNP18,17,2,55,58,1
2014-07-19,NNP18,18,5,60,63,1
2014-07-22,NNP18,19,3,63,66,1
2014-05-23,CNPS7,2,1,1,6,1
2014-05-27,CNPS7,3,4,5,10,1
2014-06-03,CNPS7,4,7,12,17,1
2014-06-07,CNPS7,5,4,16,21,1
2014-06-13,CNPS7,6,6,22,27,1
2014-06-15,CNPS7,7,2,24,29,1
2014-06-18,CNPS7,8,3,27,32,1
2014-06-20,CNPS7,9,2,29,34,1
2014-06-24,CNPS7,10,4,33,38,1
2014-06-27,CNPS7,11,3,36,41,1
2014-06-29,CNPS7,12,2,38,43,1
2014-06-30,CNPS7,13,1,39,44,1
2014-07-01,CNPS7,14,1,40,45,1
2014-07-06,CNPS7,15,5,45,50,1
2014-07-10,CNPS7,16,4,49,54,1
2014-07-13,CNPS7,17,3,52,57,1
2014-07-15,CNPS7,18,2,54,59,1
2014-05-27,CNPS23,2,1,1,10,1
2014-06-05,CNPS23,3,9,10,19,1
2014-06-07,CNPS23,4,2,12,21,1
2014-06-11,CNPS23,5,4,16,25,1
2014-06-14,CNPS23,6,3,19,28,0
2014-06-28,CNPS23_t2,2,5,5,42,1
2014-06-30,CNPS23_t2,3,2,7,44,1
2014-07-01,CNPS23_t2,4,1,8,45,1
2014-07-02,CNPS23_t2,5,1,9,46,1
2014-07-07,CNPS23_t2,6,5,14,51,1
2014-07-12,CNPS23_t2,7,5,19,56,1
2014-07-16,CNPS23_t2,8,4,23,60,1
2013-06-01,COLW5,2,10,10,17,1
2013-06-05,COLW5,3,4,14,21,1
2013-06-11,COLW5,4,6,20,27,1
2013-06-15,COLW5,5,4,24,31,1
2013-06-26,COLW5,6,11,35,42,1
2013-06-28,COLW5,7,2,37,44,1
2013-07-02,COLW5,8,4,41,48,1
2013-07-03,COLW5,9,1,42,49,1
2013-07-12,COLW5,10,9,51,58,1
2013-07-13,COLW5,11,1,52,59,1
2013-05-29,WAM9,2,6,6,14,1
2013-06-09,WAM9,3,11,17,25,1
2013-06-12,WAM9,4,3,20,28,1
2013-06-14,WAM9,5,2,22,30,1
2013-07-03,WAM9,6,19,41,49,1
2013-07-05,WAM9,7,2,43,51,1
2013-07-06,WAM9,8,1,44,52,1
2013-07-07,WAM9,9,1,45,53,1
2013-07-09,WAM9,10,2,47,55,1
2013-07-10,WAM9,11,1,48,56,1
2013-07-12,WAM9,12,2,50,58,1
2013-07-13,WAM9,13,1,51,59,1
2013-07-14,WAM9,14,1,52,60,1
2013-07-15,WAM9,15,1,53,61,1
2013-06-01,COLW1,2,7,7,17,1
2013-06-11,COLW1,3,10,17,27,1
2013-06-21,COLW1,4,10,27,37,1
2013-07-06,COLW1,5,15,42,52,1
2013-07-08,COLW1,6,2,44,54,1
2013-07-13,COLW1,7,5,49,59,1
2013-06-01,COLW2,2,10,10,17,1
2013-06-10,COLW2,3,9,19,26,1
2013-06-12,COLW2,4,2,21,28,1
2013-06-21,COLW2,5,9,30,37,1
2013-06-22,COLW2,6,1,31,38,1
2013-06-23,COLW2,7,1,32,39,1
2013-07-13,COLW2,8,20,52,59,1
2013-06-01,COLW3,2,10,10,17,1
2013-06-05,COLW3,3,4,14,21,1
2013-06-06,COLW3,4,1,15,22,1
2013-06-20,COLW3,5,14,29,36,1
2013-07-04,COLW3,6,14,43,50,1
2013-07-05,COLW3,7,1,44,51,1
2013-07-13,COLW3,8,8,52,59,1
2013-07-15,COLW3,9,2,54,61,1
2013-05-25,GT5,2,10,10,10,1
2013-06-08,GT5,3,14,24,24,1
2013-06-09,GT5,4,1,25,25,1
2013-06-13,GT5,5,4,29,29,1
2013-06-14,GT5,6,1,30,30,1
2013-06-15,GT5,7,1,31,31,1
2013-06-16,GT5,8,1,32,32,1
2013-06-17,GT5,9,1,33,33,1
2013-06-18,GT5,10,1,34,34,1
2013-06-01,WM1,2,11,11,17,1
2013-06-13,WM1,3,12,23,29,1
2013-06-14,WM1,4,1,24,30,1
2013-06-20,WM1,5,6,30,36,1
2013-06-29,WM1,6,9,39,45,1
2013-06-30,WM1,7,1,40,46,1
2013-07-11,WM1,8,11,51,57,1
2013-07-12,WM1,9,1,52,58,1
2014-05-24,CNPS13,2,1,1,7,1
2014-06-02,CNPS13,3,9,10,16,1
