bird_id,telem_pt,pt_id,dt,latitude,longitude,Y,X,interval,T,distMoved,speed,daysSinceCap,distFromCap,territory
CNPS11,1,CNPS11_p1,24-05-14 16:47,37.276672,-76.686957,4126898.113,350441.1417,NA,0,NA,NA,1,162.2325523,1
CNPS11,3,CNPS11_p3,01-06-14 13:06,37.276692,-76.686577,4126899.731,350474.8732,188.3166667,188.3166667,33.77028303,0.179327107,9,189.4927505,1
CNPS11,4,CNPS11_p4,01-06-14 14:20,37.276657,-76.686834,4126896.254,350452.0175,1.233333333,189.55,23.11866241,18.74486141,9,172.1270382,1
CNPS11,5,CNPS11_p5,01-06-14 15:31,37.276956,-76.687097,4126929.844,350429.291,1.183333333,190.7333333,40.55591082,34.27260069,9,134.9781159,1
CNPS11,6,CNPS11_p6,01-06-14 16:32,37.276582,-76.686764,4126887.822,350458.0755,1.016666667,191.75,50.93521301,50.10020952,9,181.9660918,1
CNPS11,7,CNPS11_p7,01-06-14 17:34,37.276614,-76.686727,4126891.314,350461.4194,1.033333333,192.7833333,4.834845521,4.678882762,9,182.6639414,1
CNPS11,8,CNPS11_p8,01-06-14 18:46,37.276678,-76.687059,4126898.94,350432.1099,1.2,193.9833333,30.28535399,25.23779499,9,154.5792047,1
CNPS11,9,CNPS11_p9,02-06-14 10:00,37.276928,-76.687006,4126926.594,350437.3039,15.23333333,209.2166667,28.13754346,1.847103509,10,143.5654258,1
CNPS11,10,CNPS11_p10,02-06-14 11:05,37.276659,-76.68706,4126896.833,350431.9836,1.083333333,210.3,30.23280855,27.9072079,10,155.803793,1
CNPS11,11,CNPS11_p11,04-06-14 14:53,37.27644,-76.686881,4126872.252,350447.4209,51.8,262.1,29.0264671,0.560356508,12,183.5393386,1
CNPS11,12,CNPS11_p12,10-06-14 17:00,37.277759,-76.686614,4127018.174,350473.704,146.1166667,408.2166667,148.2701299,1.014737971,18,164.0437145,1
CNPS11,13,CNPS11_p13,11-06-14 08:48,37.277,-76.687242,4126934.955,350416.522,15.8,424.0166667,100.9711993,6.390582233,19,121.3451037,1
CNPS11,14,CNPS11_p14,11-06-14 09:58,37.276569,-76.686807,4126886.447,350454.2373,1.166666667,425.1833333,61.44485266,52.66701656,19,179.7133643,1
CNPS11,15,CNPS11_p15,11-06-14 12:57,37.277183,-76.68781,4126956.158,350366.524,2.983333333,428.1666667,112.0412715,37.55573346,19,67.73592429,1
